url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PH60014&Crsname=太赫茲時域光譜和單像素相機專題(二),,,False,物理碩,PH60014,2,不分班,"太赫茲時域光譜和單像素相機專題(二)
INDEPENDENT STUDIES IN TIME-DOMAIN TERAHERTZ SPECTROSCOPY AND SINGLE-PIXEL CAMERAS (II)",3,期,False,50,0,0,50,史丹哲夫,"二A,1,B(理PH 3008)","['', 'A1B', '', '', '', '', '']","《獨立研究》
As a prerequisite you need to have studied Maxwell’s equations and have some understanding about the propagation of electromagnetic waves in 1-dimension. Further, must be able to do basic programming in Matlab, Python or Julia (either programming lan",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PH60016&Crsname=電波天文與星際介質專題(二),,,False,物理碩,PH60016,2,不分班,"電波天文與星際介質專題(二)
INDEPENDENT STUDIES IN RADIO INTERFEROMETRY AND INSTERSTELLAR MEDIUM (II)",3,期,False,50,0,0,50,呂浩宇,"四A,1,B(理SC 2006-3)","['', '', '', 'A1B', '', '', '']",《獨立研究》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PH60018&Crsname=粒子理論物理專題(二),,,False,物理碩,PH60018,2,不分班,"粒子理論物理專題(二)
INDEPENDENT STUDIES IN THEORETICAL PARTICLE PHYSICS (II)",3,期,False,50,0,0,50,岩本祥,"五A,1,B(理SC 2006-1)","['', '', '', '', 'A1B', '', '']",《獨立研究》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PH60020&Crsname=低維材料表徵和物理設備專題(二),,,False,物理碩,PH60020,2,不分班,"低維材料表徵和物理設備專題(二)
INDEPENDENT STUDIES IN LOW-DIMENSIONAL MATERIALS CHARACTERIZATIONS AND PHYSICS DEVICES (II)",3,期,False,50,0,0,50,范越芳,"三A,1,B(理PH 7011)","['', '', 'A1B', '', '', '', '']",《獨立研究》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PH60024&Crsname=量子磁性材料專題（二）,,,False,物理碩,PH60024,2,不分班,"量子磁性材料專題（二）
INDEPENDENT STUDIES IN  QUANTUM MAGNETIC MATERIALS (II)",3,期,False,50,0,0,50,吳紘丞,"一A,1,B(理PH 6003)","['A1B', '', '', '', '', '', '']",《獨立研究》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PHYS502&Crsname=高等量子力學,,,False,物理碩,PHYS502,1,不分班,"高等量子力學
ADVANCED QUANTUM MECHANICS",3,期,False,50,0,0,50,林德鴻,"四2,3,4(理PH 1009)","['', '', '', '234', '', '', '']",《講授類》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PHYS504&Crsname=書報討論（二）,,,False,物理碩,PHYS504,1,不分班,"書報討論（二）
SEMINAR (II)",1,期,True,50,0,33,17,岩本祥,四6(理PH 2006),"['', '', '', '6', '', '', '']",《演講/參訪》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PHYS507&Crsname=電動力學,,,False,物理碩,PHYS507,1,不分班,"電動力學
ELECTRODYNAMICS",3,期,False,50,0,0,50,狄米契,"五2,3,4(理PH 5008)","['', '', '', '', '234', '', '']",《講授類》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PHYS508&Crsname=統計力學,,,False,物理碩,PHYS508,1,不分班,"統計力學
STATISTICAL MECHANICS",3,期,False,50,0,0,50,陳宗緯,"一2,3,4(理PH 5008)","['234', '', '', '', '', '', '']",《講授類》,[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=PHYS511&Crsname=計算物理（一）,,,False,物理碩,PHYS511,1,不分班,"計算物理（一）
COMPUTATIONAL PHYSICS (I)",3,期,False,50,0,0,50,"莊豐權,黃志權","一8,6,7(理PH 5008)","['678', '', '', '', '', '', '']",《講授類》,[],True
