url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=IB515&Crsname=財務管理,,,False,國際經營學程,IB515,1,不分班,"財務管理
FINANCIAL MANAGEMENT",3,期,True,50,4,40,10,張世賢,"二2,3,4(管CM 3051)","['', '234', '', '', '', '', '']","《講授類》
限IBMBA及GHRM MBA學程學生修習，欲加選學生請於異常處理時辦理加選。",['金融工程學程'],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=IB517&Crsname=投資組合,,,False,國際經營學程,IB517,0,不分班,"投資組合
PORTFOLIO MANAGEMENT",3,期,False,30,4,10,20,鄭義,"一8,6,7(管CM 3022)","['678', '', '', '', '', '', '']","《講授類》
限IBMBA學程及GHRM MBA學程學生修習，欲加選學生請於異常處理時加選。",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=IB524&Crsname=國際企業永續發展,,,False,國際經營學程,IB524,0,不分班,"國際企業永續發展
SUSTAINABILITY OF GLOBAL ENTERPRISE",3,期,False,30,0,3,27,雷英瑞,"四8,6,7(管CM 1023)","['', '', '', '678', '', '', '']","《講授類》
限IBMBA及GHRM MBA學程學生修習，欲加選學生請於異常處理時加選","['公共事務與企業社會責任微學程', '企業社會責任學程']",True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=IB528&Crsname=亞太經營環境,,,False,國際經營學程,IB528,0,不分班,"亞太經營環境
ASIA PACIFIC BUSINESS ENVIRONMENT",3,期,False,30,1,3,27,雷英瑞,"三5,6,7(管CM 2025)","['', '', '567', '', '', '', '']","《講授類》
限IBMBA及GHRM MBA學程學生修習，欲加選學生請於異常處理時加選。",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=IB603&Crsname=全球供應鏈管理,,,False,國際經營學程,IB603,0,不分班,"全球供應鏈管理
GLOBAL SUPPLY CHAIN MANAGEMENT",3,期,False,35,3,24,11,楊淯程,"三2,3,4(管CM 1023)","['', '', '234', '', '', '', '']","《講授類》
限IBMBA及GHRM MBA學程學生修習，欲加選學生請於異常處理時加選。",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=IB612&Crsname=企業諮詢方法與實作,異動,更換部份時間1/29,False,國際經營學程,IB612,0,不分班,"企業諮詢方法與實作
CONSULTING METHODS AND PRACTICE",3,期,False,30,2,3,27,蔡宗霖,"二5(管CM 1023) 五8,9(管CM 1023)","['', '5', '', '', '89', '', '']","《講授類》
與GHRM MBA併班上課，限IBMBA及GHRM MBA學生修習，欲加選學生請於異常處理時加選。",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=IB614&Crsname=研究方法,,,False,國際經營學程,IB614,1,不分班,"研究方法
RESEARCH METHODOLOGY",3,期,True,50,0,41,9,陳文鑫,"四2,3,4(管CM 4112)","['', '', '', '234', '', '', '']","《講授類》
與GHRM MBA併班上課，限IBMBA及GHRM MBA學生修習，欲加選學生請於異常處理時加選。",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=GHRM507&Crsname=企業諮詢方法與實作,異動,更換部份時間1/29,False,人管英語碩程,GHRM507,1,不分班,"企業諮詢方法與實作
CONSULTING METHODS AND PRACTICE",3,期,True,50,0,19,31,蔡宗霖,"二5(管CM 1023) 五8,9(管CM 1023)","['', '5', '', '', '89', '', '']","《講授類》
與IBMBA併班上課，限IBMBA及GHRM MBA學生修習，欲加選學生請於異常處理時加選。",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=GHRM512&Crsname=研究方法,,,False,人管英語碩程,GHRM512,1,不分班,"研究方法
RESEARCH METHODOLOGY",3,期,True,50,0,19,31,陳文鑫,"四2,3,4(管CM 4112)","['', '', '', '234', '', '', '']","《講授類》
與IBMBA併班上課，限IBMBA及GHRM MBA學生修習，欲加選學生請於異常處理時加選。",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=GHRM528&Crsname=組織政治學,,,False,人管英語碩程,GHRM528,0,不分班,"組織政治學
ORGANIZATIONAL POLITICS",3,期,False,30,0,2,28,華明儀,"一8,6,7(管CM 1023)","['678', '', '', '', '', '', '']","《講授類》
限IBMBA學程及GHRM MBA學程學生修習，欲加選學生請於異常處理階段辦理加選",[],True
